,Benin
population_Grid,13144117.6419901
population_SA_Diesel,0.0
population_SA_PV,2272017.703867943
population_MG_Wind,0.0
population_MG_Diesel,0.0
population_MG_PV,89693.15974899998
population_MG_Hydro,0.0
new_connections_Grid,8600052.4494661
new_connections_SA_Diesel,0.0
new_connections_SA_PV,2272017.703867943
new_connections_MG_Wind,0.0
new_connections_MG_Diesel,0.0
new_connections_MG_PV,89693.15974899998
new_connections_MG_Hydro,0.0
capacity_Grid,476411.78300804296
capacity_SA_Diesel,0.0
capacity_SA_PV,62240.71690205264
capacity_MG_Wind,0.0
capacity_MG_Diesel,0.0
capacity_MG_PV,2322.37051841578
capacity_MG_Hydro,0.0
investment_Grid,3848766046.9445953
investment_SA_Diesel,0.0
investment_SA_PV,395085995.0864996
investment_MG_Wind,0.0
investment_MG_Diesel,0.0
investment_MG_PV,18520311.034648884
investment_MG_Hydro,0.0
