,Benin
population_Grid,0.0
population_SA_Diesel,0.0
population_SA_PV,332025.73978324304
population_MG_Wind,0.0
population_MG_Diesel,0.0
population_MG_PV,0.0
population_MG_Hydro,0.0
population_MG_Hybrid,15173802.7658238
new_connections_Grid,0.0
new_connections_SA_Diesel,0.0
new_connections_SA_PV,332025.73978324304
new_connections_MG_Wind,0.0
new_connections_MG_Diesel,0.0
new_connections_MG_PV,0.0
new_connections_MG_Hydro,0.0
new_connections_MG_Hybrid,10629737.5732998
capacity_Grid,0.0
capacity_SA_Diesel,0.0
capacity_SA_PV,9165.361645496061
capacity_MG_Wind,0.0
capacity_MG_Diesel,0.0
capacity_MG_PV,0.0
capacity_MG_Hydro,0.0
capacity_MG_Hybrid,2623949.395445984
investment_Grid,0.0
investment_SA_Diesel,0.0
investment_SA_PV,57299661.80015772
investment_MG_Wind,0.0
investment_MG_Diesel,0.0
investment_MG_PV,0.0
investment_MG_Hydro,0.0
investment_MG_Hybrid,1022512769.468447
